restaurant_id,name,city,locality,restaurant_type,cuisine,rating,votes,price_range,avg_cost_for_two,online_delivery,table_booking,opening_year,is_active
156,Cherian's Express,Hyderabad,Secunderabad,Casual Dining,South Indian,4.9,52,3,916,0,1,2013,1
157,Nayak's Corner,Kolkata,Ballygunge,Fine Dining,Rolls & Wraps,4.0,81,3,655,1,0,2018,1
158,Saxena's Cafe,Delhi,Janakpuri,Food Court,Desserts,5.0,1048,4,2394,1,0,2017,0
159,Pradhan's Express,Ahmedabad,Satellite,Dhaba,Beverages,3.9,58,4,2076,1,0,2014,1
160,Master's Express,Kolkata,Behala,Casual Dining,Seafood,1.5,17,2,273,1,0,2021,1
161,Sarna's Junction,Kolkata,Tollygunge,Quick Bites,Mughlai,2.5,16,2,256,1,0,2017,1
162,Kade's Dhaba,Kolkata,Tollygunge,Cafe,Continental,5.0,21,4,2952,1,0,2014,1
163,Saha's House,Kolkata,Salt Lake,Sweet Shop,Cafe,3.1,37,4,2030,1,1,2014,1
164,Choudhary's Express,Pune,Viman Nagar,Cafe,Chinese,5.0,135,3,871,1,0,2020,1
165,Bhatnagar's Bistro,Pune,Hadapsar,Bakery,Seafood,4.5,193,2,274,1,0,2018,1
166,Pal's Garden,Pune,Koregaon Park,Bar,Healthy Food,2.4,1478,3,903,1,1,2022,1
167,Dua's House,Mumbai,Bandra,Sweet Shop,Pizza,4.1,123,4,2324,0,0,2013,1
168,Gaba's Dhaba,Delhi,Saket,Bakery,Italian,5.0,88,3,836,1,0,2021,1
169,Bala's Garden,Bangalore,Indiranagar,Quick Bites,Fast Food,3.7,88,2,449,1,0,2021,1
170,Sanghvi's Palace,Bangalore,Koramangala,Food Court,Beverages,4.6,503,2,344,1,0,2023,0
171,Shanker's Garden,Hyderabad,Madhapur,Bakery,Burger,4.0,30,1,218,1,1,2011,0
172,Dass's Corner,Hyderabad,Banjara Hills,Bakery,Punjabi,3.5,30,3,994,1,0,2021,1
173,Handa's Palace,Ahmedabad,Satellite,Dhaba,Cafe,4.6,13,1,247,0,1,2018,1
174,Kant's Junction,Delhi,Rohini,Dhaba,Burger,4.9,1024,2,317,1,1,2021,1
175,Reddy's Garden,Mumbai,Powai,Sweet Shop,Cafe,3.2,79,4,1555,1,0,2019,1
176,Chatterjee's Garden,Mumbai,Colaba,Cloud Kitchen,Burger,3.3,282,3,869,1,1,2016,1
177,Goyal's Bistro,Delhi,Janakpuri,Cloud Kitchen,Burger,4.8,878,2,374,0,0,2020,1
178,Mohan's Express,Ahmedabad,Maninagar,Quick Bites,Rajasthani,3.5,974,4,2339,1,0,2014,1
179,Varughese's Junction,Delhi,Saket,Cloud Kitchen,North Indian,4.6,111,3,528,0,0,2013,1
180,Raj's House,Delhi,Karol Bagh,Bakery,Rolls & Wraps,3.8,1499,2,465,0,0,2013,1
181,Randhawa's Garden,Kolkata,Dum Dum,Quick Bites,Street Food,4.5,931,2,320,1,0,2013,1
182,Hayer's House,Mumbai,Bandra,Fine Dining,Healthy Food,5.0,337,2,280,0,1,2022,1
183,Sandhu's Garden,Bangalore,Jayanagar,Quick Bites,Italian,4.0,1137,3,790,0,1,2013,1
184,Deshpande's Dhaba,Ahmedabad,Navrangpura,Quick Bites,Healthy Food,5.0,59,4,1672,1,0,2020,1
185,Malhotra's Junction,Bangalore,Whitefield,Fine Dining,Beverages,3.7,32,3,604,0,0,2015,1
186,Khare's Corner,Mumbai,Worli,Dhaba,Cafe,4.0,563,2,429,1,0,2015,1
187,Tank's Kitchen,Mumbai,Powai,Quick Bites,Burger,3.1,812,3,612,1,0,2018,1
188,Ramachandran's Dhaba,Ahmedabad,Vastrapur,Casual Dining,Continental,3.5,66,1,196,0,0,2011,0
189,Pandya's Express,Hyderabad,Kukatpally,Fine Dining,Bengali,4.6,58,3,591,1,0,2013,1
190,Modi's Garden,Delhi,Janakpuri,Fine Dining,Street Food,2.8,452,1,184,0,0,2019,1
191,Sampath's Corner,Delhi,Connaught Place,Cloud Kitchen,Rajasthani,3.7,895,2,443,0,0,2012,1
192,Pai's Express,Bangalore,Marathahalli,Dhaba,Healthy Food,4.4,10,2,340,1,0,2020,1
193,Agrawal's Garden,Bangalore,BTM Layout,Fine Dining,Burger,4.7,2564,2,310,1,1,2012,1
194,Nagarajan's Garden,Pune,Koregaon Park,Quick Bites,Chinese,4.5,743,3,547,1,0,2015,1
195,Balasubramanian's Junction,Chennai,OMR,Cloud Kitchen,Desserts,3.6,72,1,198,1,0,2020,0
196,Aurora's House,Pune,Viman Nagar,Sweet Shop,Italian,3.9,589,1,192,1,1,2018,1
197,Lall's Kitchen,Delhi,Dwarka,Casual Dining,Rajasthani,4.4,76,4,2171,1,1,2010,1
198,Goswami's Palace,Bangalore,Jayanagar,Sweet Shop,Rolls & Wraps,3.4,15,4,2240,1,0,2011,1
199,Banik's Corner,Chennai,OMR,Cloud Kitchen,Seafood,4.3,82,2,408,0,0,2012,0
200,Dhillon's Cafe,Bangalore,Yelahanka,Cloud Kitchen,Bengali,3.6,1981,4,2755,0,0,2022,1
201,Gopal's Corner,Kolkata,Salt Lake,Food Court,Italian,4.2,240,2,299,1,0,2013,1
202,Sen's Kitchen,Kolkata,Park Street,Bar,Desserts,4.4,1250,4,1215,0,0,2012,1
203,Ray's House,Bangalore,Marathahalli,Food Court,Burger,2.7,63,3,651,1,1,2012,0
204,Dass's Kitchen,Mumbai,Bandra,Food Court,Healthy Food,3.6,34,3,729,1,1,2018,1
205,Dutt's Corner,Delhi,Lajpat Nagar,Dhaba,Pizza,3.6,14,3,818,1,1,2012,1
206,Dhar's Bistro,Bangalore,Jayanagar,Bakery,Mughlai,4.4,68,2,341,1,1,2014,1
207,Sandal's Kitchen,Mumbai,Andheri,Sweet Shop,Desserts,3.9,160,3,821,1,1,2015,1
208,Kanda's Bistro,Mumbai,Malad,Dhaba,Mughlai,4.2,3,1,108,1,0,2014,1
209,Ravi's Kitchen,Hyderabad,HITEC City,Bakery,Biryani,4.1,98,3,521,1,1,2023,1
210,Wali's Garden,Kolkata,Behala,Sweet Shop,Punjabi,4.1,25,2,273,0,0,2013,1
211,Mukhopadhyay's Corner,Kolkata,Ballygunge,Fine Dining,Rolls & Wraps,4.1,1040,2,409,1,1,2017,1
212,Gole's Junction,Bangalore,Yelahanka,Cafe,Biryani,3.9,50,1,196,1,0,2012,1
213,Brar's Kitchen,Delhi,Janakpuri,Cafe,Italian,3.3,352,4,2199,1,0,2016,1
214,Suresh's Kitchen,Mumbai,Dadar,Dhaba,Bengali,4.2,253,1,219,1,0,2016,1
215,Jhaveri's Bistro,Pune,Kothrud,Quick Bites,Pizza,3.8,201,2,340,1,1,2011,1
216,Joshi's Kitchen,Bangalore,Koramangala,Sweet Shop,Punjabi,3.8,83,2,330,1,1,2018,1
217,Sabharwal's Junction,Mumbai,Andheri,Cloud Kitchen,Italian,4.3,236,4,2025,1,1,2022,1
218,Pathak's Palace,Mumbai,Andheri,Food Court,North Indian,4.7,792,2,408,1,1,2022,1
219,Raman's Cafe,Kolkata,Ballygunge,Quick Bites,Continental,4.0,362,4,2312,1,0,2017,1
220,Grewal's Express,Delhi,Saket,Bakery,Seafood,3.1,132,2,356,1,0,2016,1
221,Kumar's Junction,Chennai,T Nagar,Bakery,Fast Food,4.0,13,3,845,1,1,2016,1
222,Prabhakar's Junction,Chennai,T Nagar,Cloud Kitchen,Desserts,4.1,35,4,2884,1,0,2020,1
223,Rau's Bistro,Hyderabad,HITEC City,Quick Bites,Pizza,3.2,67,2,364,1,0,2015,1
224,Iyengar's Garden,Ahmedabad,SG Highway,Fine Dining,Seafood,3.8,20,2,392,1,0,2011,1
225,Gaba's House,Bangalore,Marathahalli,Dhaba,Bengali,4.4,193,3,966,1,0,2022,1
226,Bhardwaj's Palace,Mumbai,Dadar,Fine Dining,Rolls & Wraps,5.0,232,3,950,1,0,2023,1
227,Chatterjee's Express,Bangalore,Koramangala,Bakery,Beverages,4.2,41,4,1496,1,1,2017,1
228,Viswanathan's Cafe,Ahmedabad,Satellite,Cloud Kitchen,Fast Food,3.0,375,2,265,1,0,2011,1
229,Narasimhan's Dhaba,Kolkata,Salt Lake,Cafe,South Indian,3.0,388,2,391,0,0,2018,1
230,Ratta's Garden,Bangalore,Koramangala,Cafe,Chinese,5.0,613,3,881,1,0,2015,1
231,Raman's House,Mumbai,Andheri,Food Court,Chinese,4.2,222,1,184,1,0,2023,1
232,Pal's Junction,Bangalore,Koramangala,Sweet Shop,Chinese,3.5,124,1,163,1,0,2014,1
233,Chand's Dhaba,Chennai,T Nagar,Casual Dining,Biryani,3.4,20,4,1690,1,0,2018,1
234,Om's Kitchen,Mumbai,Dadar,Cloud Kitchen,Burger,3.8,781,1,141,0,0,2010,1
235,Bala's Cafe,Hyderabad,Madhapur,Dhaba,Pizza,2.9,1209,2,396,1,1,2023,1
236,Warrior's Corner,Delhi,Saket,Bakery,Punjabi,4.7,269,2,325,1,0,2021,1
237,Nigam's Bistro,Pune,Hadapsar,Casual Dining,Pizza,4.1,112,2,370,1,0,2019,1
238,Boase's Dhaba,Bangalore,Jayanagar,Fine Dining,South Indian,3.8,74,3,965,0,1,2010,1
239,Chokshi's Kitchen,Pune,Hadapsar,Bar,Beverages,3.8,183,2,496,1,1,2020,1
240,Parikh's Palace,Bangalore,Whitefield,Cafe,Burger,5.0,346,1,233,1,0,2022,1
241,Gulati's Express,Kolkata,Behala,Casual Dining,Rajasthani,3.7,127,2,337,0,0,2012,1
242,Goyal's Corner,Chennai,OMR,Food Court,Rajasthani,3.3,65,2,398,1,0,2011,1
243,Master's Kitchen,Bangalore,Marathahalli,Bakery,Cafe,4.4,70,2,264,1,1,2023,1
244,Ghosh's Kitchen,Delhi,Rohini,Casual Dining,Desserts,3.4,61,3,654,1,0,2010,1
245,Bhakta's Kitchen,Hyderabad,Banjara Hills,Cafe,Continental,3.3,804,3,551,1,1,2010,1
246,Bora's Kitchen,Chennai,Adyar,Food Court,Pizza,3.9,97,4,2034,1,1,2022,1
247,Sundaram's Palace,Delhi,Janakpuri,Casual Dining,South Indian,3.8,205,2,263,1,0,2023,1
248,Lalla's Cafe,Bangalore,Whitefield,Food Court,Rajasthani,3.3,18,2,303,0,1,2014,1
249,Kunda's Kitchen,Bangalore,BTM Layout,Food Court,Rolls & Wraps,4.7,653,2,383,1,0,2011,1
250,Sampath's Bistro,Pune,Baner,Food Court,Rajasthani,4.1,589,3,967,1,0,2012,1
251,Kala's Corner,Ahmedabad,SG Highway,Bakery,Street Food,5.0,66,1,122,0,0,2014,1
252,Sagar's Bistro,Delhi,Lajpat Nagar,Food Court,Beverages,3.0,400,2,459,1,0,2017,1
253,Butala's Express,Pune,Hinjewadi,Casual Dining,South Indian,2.8,157,2,388,1,0,2022,1
254,Mani's Express,Delhi,Janakpuri,Bakery,Chinese,3.6,407,3,876,1,0,2012,1
255,Rajan's House,Hyderabad,Madhapur,Quick Bites,South Indian,3.5,897,1,122,1,0,2021,1
